,alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
0,caja-caliente-coral-gables,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'cuban', 'title': 'Cuban'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]","{'latitude': 25.76419, 'longitude': -80.25949}",(786) 431-1947,3131.9917662269318,4NdVdXVzWd8LxqnrHgPDDQ,https://s3-media2.fl.yelpcdn.com/bphoto/ek3YyE2mHX86oDMRPNCmUg/o.jpg,False,"{'address1': '808 Ponce De Leon Blvd', 'address2': '', 'address3': None, 'city': 'Coral Gables', 'zip_code': '33134', 'country': 'US', 'state': 'FL', 'display_address': ['808 Ponce De Leon Blvd', 'Coral Gables, FL 33134']}",Caja Caliente,+17864311947,$$,5.0,92,[],https://www.yelp.com/biz/caja-caliente-coral-gables?adjust_creative=VeuwCtfmB4VyXWuUYbZp8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VeuwCtfmB4VyXWuUYbZp8w
1,antojitos-mexicanos-tenorio-miami,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 25.730775, 'longitude': -80.4153515}",(305) 225-5125,12979.074151727023,UBWFHeS_Y4VpTWpv49ak7g,https://s3-media3.fl.yelpcdn.com/bphoto/txmuw514Aej7NPrGeYJyzQ/o.jpg,False,"{'address1': '4095 SW 137th Ave', 'address2': None, 'address3': None, 'city': 'Miami', 'zip_code': '33175', 'country': 'US', 'state': 'FL', 'display_address': ['4095 SW 137th Ave', 'Miami, FL 33175']}",Antojitos Mexicanos Tenorio,+13052255125,$,4.5,262,['pickup'],https://www.yelp.com/biz/antojitos-mexicanos-tenorio-miami?adjust_creative=VeuwCtfmB4VyXWuUYbZp8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VeuwCtfmB4VyXWuUYbZp8w
2,the-taco-stand-miami,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 25.80088, 'longitude': -80.20138}",(786) 580-4948,10198.660664946889,9h9nMMvnINJWMt7TjJtePw,https://s3-media2.fl.yelpcdn.com/bphoto/b3pyQXlCmGVJHuvUQ5I0Bg/o.jpg,False,"{'address1': '313 NW 25th St', 'address2': '', 'address3': None, 'city': 'Miami', 'zip_code': '33127', 'country': 'US', 'state': 'FL', 'display_address': ['313 NW 25th St', 'Miami, FL 33127']}",The Taco Stand,+17865804948,$,4.5,571,"['delivery', 'pickup']",https://www.yelp.com/biz/the-taco-stand-miami?adjust_creative=VeuwCtfmB4VyXWuUYbZp8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VeuwCtfmB4VyXWuUYbZp8w
3,avo-taco-doral-2,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 25.819221, 'longitude': -80.3371665}",(786) 551-1600,8875.373718861814,jDiQ8Pp5bMz1qzMPGi0JPQ,https://s3-media4.fl.yelpcdn.com/bphoto/J5mF4MbiXF3Bhs4NYWvjHg/o.jpg,False,"{'address1': '5241 NW 87th Ave', 'address2': 'Ste D107', 'address3': '', 'city': 'Doral', 'zip_code': '33178', 'country': 'US', 'state': 'FL', 'display_address': ['5241 NW 87th Ave', 'Ste D107', 'Doral, FL 33178']}",AVO TACO,+17865511600,$,4.5,220,"['delivery', 'pickup']",https://www.yelp.com/biz/avo-taco-doral-2?adjust_creative=VeuwCtfmB4VyXWuUYbZp8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VeuwCtfmB4VyXWuUYbZp8w
4,taqueria-viva-méxico-miami-2,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 25.7686015253466, 'longitude': -80.2145662531257}",(786) 350-6360,7570.501680482599,9PEF_qX-3FU4iMmKgk98eA,https://s3-media1.fl.yelpcdn.com/bphoto/25JmaQRZadEc_8STVQEKcA/o.jpg,False,"{'address1': '502 SW 12th Ave', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33130', 'country': 'US', 'state': 'FL', 'display_address': ['502 SW 12th Ave', 'Miami, FL 33130']}",Taqueria Viva México,+17863506360,$,4.5,417,"['delivery', 'pickup']",https://www.yelp.com/biz/taqueria-viva-m%C3%A9xico-miami-2?adjust_creative=VeuwCtfmB4VyXWuUYbZp8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VeuwCtfmB4VyXWuUYbZp8w
5,la-placita-taco-grill-miami-2,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'foodstands', 'title': 'Food Stands'}, {'alias': 'latin', 'title': 'Latin American'}]","{'latitude': 25.7332606187174, 'longitude': -80.2992757408869}",(786) 760-9410,2440.1428134885286,jlt46cNOFUp_TY7ZHOGoVw,https://s3-media3.fl.yelpcdn.com/bphoto/qtsetTqvnBXnn7dujYfPkQ/o.jpg,False,"{'address1': '6420 Bird Rd', 'address2': '', 'address3': None, 'city': 'Miami', 'zip_code': '33155', 'country': 'US', 'state': 'FL', 'display_address': ['6420 Bird Rd', 'Miami, FL 33155']}",La Placita Taco Grill,+17867609410,$$,4.5,95,[],https://www.yelp.com/biz/la-placita-taco-grill-miami-2?adjust_creative=VeuwCtfmB4VyXWuUYbZp8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VeuwCtfmB4VyXWuUYbZp8w
6,a-mari-mix-fresh-mex-fusion-miami,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 25.7468571893715, 'longitude': -80.3519500632294}",(305) 603-9134,6429.709695253538,j0MnMGOdiPscmQ-JIILoag,https://s3-media2.fl.yelpcdn.com/bphoto/Mnwz2Mh7j2SpOkABrez52w/o.jpg,False,"{'address1': '9700 SW 24th St', 'address2': 'Ste D', 'address3': '', 'city': 'Miami', 'zip_code': '33165', 'country': 'US', 'state': 'FL', 'display_address': ['9700 SW 24th St', 'Ste D', 'Miami, FL 33165']}",A-Mari-Mix Fresh Mex Fusion,+13056039134,$,4.5,223,['pickup'],https://www.yelp.com/biz/a-mari-mix-fresh-mex-fusion-miami?adjust_creative=VeuwCtfmB4VyXWuUYbZp8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VeuwCtfmB4VyXWuUYbZp8w
7,taquiza-miami-beach-6,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 25.78499, 'longitude': -80.13056}",,16174.595124363987,JDYDYfDoMVtkqZ5LyTBd9g,https://s3-media4.fl.yelpcdn.com/bphoto/DGv3EVts3vRmEZGcjpMU4A/o.jpg,False,"{'address1': '1351 Collins Ave', 'address2': '', 'address3': None, 'city': 'Miami Beach', 'zip_code': '33139', 'country': 'US', 'state': 'FL', 'display_address': ['1351 Collins Ave', 'Miami Beach, FL 33139']}",Taquiza,,$$,4.0,1041,"['delivery', 'pickup']",https://www.yelp.com/biz/taquiza-miami-beach-6?adjust_creative=VeuwCtfmB4VyXWuUYbZp8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VeuwCtfmB4VyXWuUYbZp8w
8,el-donkey-mexican-grill-miami,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 25.701584, 'longitude': -80.3570983}",(305) 200-3935,8895.862482317949,nh4td0-yIzXoimKlityncA,https://s3-media2.fl.yelpcdn.com/bphoto/mAfQ9Cj2w0-5wagXHucGkA/o.jpg,False,"{'address1': '10043 SW 72nd St', 'address2': None, 'address3': '', 'city': 'Miami', 'zip_code': '33173', 'country': 'US', 'state': 'FL', 'display_address': ['10043 SW 72nd St', 'Miami, FL 33173']}",El Donkey Mexican Grill,+13052003935,$$,4.5,210,"['delivery', 'pickup']",https://www.yelp.com/biz/el-donkey-mexican-grill-miami?adjust_creative=VeuwCtfmB4VyXWuUYbZp8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VeuwCtfmB4VyXWuUYbZp8w
9,taquiza-miami-beach-4,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 25.86055, 'longitude': -80.1202}",(786) 588-4755,20641.395217371657,j8OzJ4v8rgGf0jRZMr0c9w,https://s3-media2.fl.yelpcdn.com/bphoto/0Ic7lWz2UPNazysrSvthfA/o.jpg,False,"{'address1': '7450 Ocean Ter', 'address2': '', 'address3': None, 'city': 'Miami Beach', 'zip_code': '33141', 'country': 'US', 'state': 'FL', 'display_address': ['7450 Ocean Ter', 'Miami Beach, FL 33141']}",Taquiza,+17865884755,$$,4.5,164,[],https://www.yelp.com/biz/taquiza-miami-beach-4?adjust_creative=VeuwCtfmB4VyXWuUYbZp8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=VeuwCtfmB4VyXWuUYbZp8w
